ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
0,0.5,0.1,0.2,2,422,0.3756139,1
0,0.4,0.2,0.2,11,423,0.2918797,1
0,0.6,0.1,0.2,15,424,0.3202885,0
0,0.5,0.1,0.2,4,425,0.3623301,1
0,0.6,0.2,0.2,3,426,0.4734371,1
0,0.6,0.2,0.2,15,427,0.4037568,1
0,0.4,0.1,0.2,9,428,0.3342661,0
0,0.6,0.1,0.2,9,429,0.333934,0
0,0.4,0.1,0.2,7,430,0.3617517,0
0,0.4,0.1,0.2,6,431,0.3202568,0
0,0.4,0.2,0.2,13,432,0.3067766,1
0,0.4,0.1,0.2,11,433,0.3619367,0
0,0.4,0.2,0.2,17,434,0.3762383,1
0,0.4,0.2,0.2,1,435,0.3476582,1
0,0.4,0.1,0.2,13,436,0.3484597,0
0,0.5,0.2,0.2,6,437,0.3201794,1
0,0.4,0.1,0.2,12,438,0.3481486,0
0,0.6,0.2,0.2,9,439,0.3757045,0
0,0.4,0.2,0.2,15,440,0.334261,1
0,0.6,0.1,0.2,12,441,0.3757301,0
0,0.6,0.2,0.2,5,442,0.4592952,1
0,0.5,0.2,0.2,17,443,0.4179012,1
0,0.5,0.2,0.2,13,444,0.3481326,1
0,0.4,0.1,0.2,2,445,0.3621987,0
0,0.6,0.2,0.2,12,446,0.278664,0
0,0.4,0.2,0.2,18,447,0.4038583,0
0,0.4,0.2,0.2,12,448,0.3341367,1
0,0.4,0.1,0.2,3,449,0.333507,0
0,0.5,0.1,0.2,0,450,0.3621481,1
0,0.6,0.1,0.2,18,451,0.3347428,0
0,0.6,0.2,0.2,17,452,0.5710341,1
0,0.5,0.1,0.2,15,453,0.3344318,1
0,0.6,0.1,0.2,14,454,0.333694,0
0,0.4,0.1,0.2,16,455,0.3895978,0
0,0.4,0.1,0.2,5,456,0.3760751,0
0,0.5,0.1,0.2,7,457,0.3339867,1
0,0.6,0.1,0.2,11,458,0.3757835,0
0,0.4,0.2,0.2,0,459,0.4181994,0
0,0.4,0.2,0.2,19,460,0.3900826,1
0,0.5,0.2,0.2,19,461,0.3476984,1
0,0.6,0.2,0.2,0,462,0.6403092,0
0,0.6,0.1,0.2,8,463,0.4036554,1
0,0.5,0.2,0.2,5,464,0.4036112,1
0,0.5,0.1,0.2,3,465,0.3896074,1
0,0.5,0.1,0.2,9,466,0.4174324,0
0,0.4,0.2,0.2,4,467,0.3619554,1
0,0.4,0.2,0.2,3,468,0.3899241,1
0,0.4,0.2,0.2,8,469,0.3485806,1
0,0.6,0.2,0.2,1,470,0.3756971,0
0,0.5,0.1,0.2,18,471,0.3478836,1
0,0.5,0.1,0.2,17,472,0.38958,1
0,0.6,0.1,0.2,4,473,0.4172128,1
0,0.5,0.2,0.2,16,474,0.4320522,1
0,0.5,0.2,0.2,8,475,0.4594924,1
0,0.6,0.1,0.2,16,476,0.4874943,1
0,0.6,0.1,0.2,6,477,0.3206008,0
0,0.4,0.1,0.2,0,478,0.3476847,0
0,0.4,0.1,0.2,1,479,0.3621956,0
0,0.6,0.2,0.2,8,480,0.4180583,1
1,0.6,0.2,0.1,14,1,0.5150543,1
1,0.6,0.2,0.1,0,2,0.5009243,1
1,0.4,0.2,0.1,1,3,0.4451225,1
1,0.6,0.2,0.1,5,4,0.3201794,0
1,0.6,0.1,0.1,6,5,0.585121,1
1,0.6,0.2,0.1,12,6,0.5145543,1
1,0.6,0.1,0.1,17,7,0.5434798,1
1,0.5,0.2,0.1,7,8,0.4736286,1
1,0.4,0.2,0.1,9,9,0.4732133,1
1,0.5,0.2,0.1,1,10,0.417661,1
1,0.6,0.1,0.1,2,11,0.473542,0
1,0.6,0.1,0.1,8,12,0.5011238,1
1,0.5,0.2,0.1,15,13,0.5149998,1
1,0.5,0.2,0.1,19,14,0.4315447,1
1,0.4,0.1,0.1,11,15,0.4175569,0
1,0.6,0.2,0.1,10,16,0.4175829,0
1,0.5,0.1,0.1,15,17,0.5012295,0
1,0.5,0.2,0.1,5,18,0.4596497,1
1,0.5,0.1,0.1,10,19,0.4734755,1
1,0.4,0.1,0.1,17,20,0.418057,0
1,0.5,0.2,0.1,12,21,0.4041789,1
1,0.5,0.1,0.1,12,22,0.5703782,0
1,0.4,0.2,0.1,15,23,0.3760128,1
1,0.6,0.1,0.1,13,24,0.4456112,0
1,0.4,0.2,0.1,12,25,0.4316736,1
1,0.5,0.2,0.1,8,26,0.4314783,1
1,0.6,0.1,0.1,16,27,0.4174217,0
1,0.5,0.1,0.1,14,28,0.4876373,1
1,0.4,0.1,0.1,2,29,0.4316654,0
1,0.5,0.2,0.1,10,30,0.4456957,1
1,0.6,0.2,0.1,15,31,0.5150687,1
1,0.4,0.2,0.1,3,32,0.4594415,1
1,0.6,0.2,0.1,11,33,0.5843545,1
1,0.6,0.2,0.1,1,34,0.4036671,0
1,0.6,0.1,0.1,18,35,0.52911,1
1,0.6,0.2,0.1,17,36,0.5430074,1
1,0.4,0.2,0.1,6,37,0.4176106,1
1,0.5,0.2,0.1,3,38,0.4318365,1
1,0.6,0.1,0.1,14,39,0.4595209,0
1,0.4,0.1,0.1,6,40,0.4038588,0
1,0.4,0.2,0.1,16,41,0.4458185,1
1,0.4,0.2,0.1,7,42,0.347774,1
1,0.4,0.2,0.1,5,43,0.4179597,1
1,0.5,0.1,0.1,2,44,0.5290685,0
1,0.6,0.2,0.1,9,45,0.515421,1
1,0.6,0.2,0.1,8,46,0.6965265,1
1,0.5,0.2,0.1,17,47,0.5288311,1
1,0.5,0.1,0.1,7,48,0.5153386,0
1,0.5,0.1,0.1,13,49,0.5427013,0
1,0.6,0.1,0.1,9,50,0.5011139,1
1,0.5,0.1,0.1,6,51,0.4174234,1
